epoch,val_loss,val_any_predictions_loss,val_subtype_pred_loss,val_any_predictions_binary_accuracy,val_subtype_pred_categorical_accuracy,loss,any_predictions_loss,subtype_pred_loss,any_predictions_binary_accuracy,subtype_pred_categorical_accuracy,lr
0,0.6584481735422154,0.6949655281172858,0.5732410116629167,0.4959596028984195,0.1959596003847893,0.7577610196489276,0.7908451478890698,0.6805647178129717,0.5025252529768028,0.17979798322976237,0.0010000000474974513
1,0.643668147650632,0.6933989368303858,0.5276296388621282,0.48686869344627015,0.33737374300306494,0.6638598995979386,0.7347714624019585,0.498399606256774,0.4878787870961006,0.17373737613811638,0.0010000000474974513
2,0.6329181380946227,0.6943429780728889,0.48959351790071737,0.5040404113254162,0.15252525577641496,0.6403983801302283,0.7238759693473277,0.445617336817462,0.49646464953518876,0.1585858619649603,0.0010000000474974513
3,0.6324020551912712,0.6930138251998208,0.4909745849142171,0.5292929346212233,0.15252525577641496,0.6280463368001611,0.7159983587987495,0.42282495143437626,0.49696969820393455,0.12828283109749206,0.0010000000474974513
4,0.6225850148634477,0.6929170657890011,0.4584768908192413,0.5424242478729498,0.15252525577641496,0.6145057473519836,0.700154534494034,0.4146585818191971,0.5080808109105236,0.12979798225892913,0.0010000000474974513
5,0.617571685651336,0.692884517438484,0.4418417477246487,0.5484848547764499,0.15252525577641496,0.6132058615636344,0.6989512172612277,0.41313336834763037,0.5126262614221284,0.12474747732131168,0.0010000000474974513
6,0.6199597650104098,0.692896716522448,0.44977355424803916,0.5212121273231025,0.15252525577641496,0.6084364875398501,0.6955415678746772,0.4051913010953653,0.5035353548297978,0.1318181844973805,0.0010000000474974513
7,0.6171595899745671,0.6930390253211512,0.4401075764737948,0.5040404113254162,0.15252525577641496,0.6066850646577701,0.6962300334313903,0.39774681115993343,0.5126262653355647,0.1247474770955365,0.0010000000474974513
8,0.6115127970473935,0.6929917696750525,0.42139519736020253,0.4959596015437685,0.14545454852508777,0.6056444819527443,0.6944370534684923,0.39846181899610195,0.5085858624390881,0.12424242643244339,0.0010000000474974513
9,0.6155291566945086,0.693097624513838,0.43453607384604637,0.5040404113254162,0.15252525577641496,0.6079003901192637,0.6985315837041296,0.3964276106068582,0.5161616213694967,0.13838384134901893,0.0010000000474974513
10,0.6140725769177832,0.6931417668708647,0.4295778042740292,0.4959596045541041,0.15252525577641496,0.6075454179686729,0.6990162609803556,0.39411345967138656,0.4924242463376787,0.1303030325833595,0.0010000000474974513
11,0.6135755313767327,0.6930771018519546,0.42807186552972504,0.527272734527636,0.15252525577641496,0.6062393856771064,0.6975042217909687,0.39328810015712123,0.4984848491772257,0.11464646740844756,0.0005000000237487257
12,0.6136118619128911,0.6931000111078975,0.42813951559741087,0.5040404113254162,0.15151515482652067,0.6044669560711793,0.6956789096196493,0.39163906164843626,0.5015151556393113,0.13282828563542076,0.0005000000237487257
13,0.6142415801684061,0.6930919127030806,0.4302574661042955,0.5040404113254162,0.15252525577641496,0.6052634716033936,0.6967311170366075,0.39183896569290544,0.49040404187910486,0.12777778054728653,0.0002500000118743628
