epoch,val_loss,val_any_predictions_loss,val_subtype_pred_loss,val_any_predictions_binary_accuracy,val_subtype_pred_categorical_accuracy,loss,any_predictions_loss,subtype_pred_loss,any_predictions_binary_accuracy,subtype_pred_categorical_accuracy,lr
0,0.6404889195856421,0.6961709429519345,0.5105641993007275,0.5070707142503574,0.1444444474246767,0.7183562505124795,0.7530917742035605,0.6373067061708431,0.4878787901064362,0.17121212342471787,0.0010000000474974513
1,0.6280404275113886,0.6916941374239295,0.4795151169251914,0.5161616233262148,0.1262626289719283,0.6401952288367532,0.7170635534055305,0.46083580935844265,0.5141414163088558,0.18181818460274224,0.0010000000474974513
2,0.6347268476630702,0.6938249203893874,0.49683134393258527,0.5000000073753222,0.1252525273447085,0.6265151609073986,0.7094388851011643,0.43302647393159194,0.5080808082012215,0.14545454796064983,0.0010000000474974513
3,0.6225536525851548,0.6934646849680428,0.45709459348158404,0.5090909141934279,0.15252525592693175,0.6234426624847181,0.7107278349423649,0.41977726329456677,0.47979798386193284,0.1353535381606733,0.0010000000474974513
4,0.6247021278949699,0.6923804656423703,0.46678600558126815,0.48181818839576507,0.15353535687682604,0.6102678462712452,0.6969237532278504,0.40807073345087996,0.5181818210115336,0.13535353819830248,0.0010000000474974513
5,0.6199478187946358,0.6921497083673573,0.4514767328898112,0.5010101089272836,0.15454545790197874,0.6130954815883829,0.700946872884577,0.4081089082691405,0.49545454768219377,0.12929293208501555,0.0010000000474974513
6,0.6148357728515008,0.6925392102713537,0.4335277661530658,0.5040404113254162,0.15858586222836465,0.6072215154917553,0.694334479293438,0.40395793770298816,0.5202020211051209,0.1318181843468637,0.0010000000474974513
7,0.6138948900531037,0.6915036813177243,0.4328077035118835,0.5040404113254162,0.15555555900238982,0.6057967320837155,0.697211292054918,0.39249609546227887,0.5060606060003994,0.13333333603510952,0.0010000000474974513
8,0.610082694978425,0.6917247916712905,0.419584473275175,0.5060606135262383,0.15757576112795357,0.604653724516281,0.6969499467599272,0.3892958764777039,0.5085858601813364,0.13484848776098454,0.0010000000474974513
9,0.6101068475029685,0.6904265838440018,0.4226941376021414,0.5676767741790926,0.1585858618520727,0.6061338228408737,0.6984896250445434,0.39063695374161306,0.4969697001606527,0.12929293204738637,0.0010000000474974513
10,0.6112504252279648,0.6906417078442044,0.42600410996061383,0.6313131373338025,0.1555555589271314,0.6014103847320633,0.6921948814632917,0.3895798876430049,0.5151515196670186,0.13030303311016825,0.0010000000474974513
11,0.6141318558442472,0.6910116437709692,0.4347456796000702,0.5464646525003694,0.15454545790197874,0.598947327546399,0.6880351846868341,0.39107567162224743,0.5459595972841437,0.12575757827120598,0.0005000000237487257
