epoch,loss,val_loss
1,inf,inf
2,inf,inf
3,inf,inf
4,inf,inf
5,inf,inf
6,inf,inf
7,inf,inf
8,inf,inf
9,4.298142957513225,4.498142957513225
10,4.02295989532197,4.22295989532197
11,3.7863753590771916,3.9863753590771918
12,3.58402250846778,3.78402250846778
13,3.416031805061856,3.6160318050618563
14,3.265654355399264,3.465654355399264
15,3.1412876227599127,3.341287622759913
16,3.033814496372584,3.233814496372584
17,2.9308107262632332,3.1308107262632334
18,2.847238522237211,3.0472385222372114
19,2.7723994216695877,2.972399421669588
20,2.702000404199615,2.9020004041996152
21,2.651327736463888,2.851327736463888
22,2.598464390271235,2.7984643902712354
23,2.5489859512799287,2.748985951279929
24,2.5080289391170614,2.7080289391170616
25,2.4748514057123403,2.6748514057123405
26,2.436107562710473,2.6361075627104733
27,2.4068731494732676,2.6068731494732678
28,2.383139544245792,2.583139544245792
29,2.3581292480252602,2.5581292480252604
30,2.3339452883809666,2.5339452883809668
31,2.311204796926803,2.511204796926803
32,2.290510320981376,2.490510320981376
33,2.2796554630441084,2.4796554630441086
34,2.2637011115960526,2.4637011115960528
35,2.244690767675752,2.4446907676757523
36,2.2283221739533947,2.428322173953395
37,2.2199269950486653,2.4199269950486655
38,2.2122036581261812,2.4122036581261814
39,2.2014238187384136,2.401423818738414
40,2.1875916400262567,2.387591640026257
41,2.177308063807441,2.3773080638074413
42,2.169245243161866,2.369245243161866
43,2.1568414387987764,2.3568414387987766
44,2.1489002350238664,2.3489002350238666
45,2.144600752815048,2.3446007528150483
46,2.133241530762528,2.3332415307625283
47,2.125133408978433,2.325133408978433
48,2.118245556995114,2.318245556995114
49,2.1107188921670654,2.3107188921670656
50,2.110814168073673,2.3108141680736733
51,2.102525166568594,2.302525166568594
52,2.0928724529032197,2.29287245290322
53,2.0989187705176113,2.2989187705176115
54,2.0834643977279064,2.2834643977279065
55,2.084900851325243,2.284900851325243
56,2.074186517522234,2.274186517522234
57,2.0730258422385184,2.2730258422385186
58,2.0641862944979517,2.264186294497952
59,2.0650847153811944,2.2650847153811946
60,2.0557009538142053,2.2557009538142054
61,2.054647592342144,2.254647592342144
62,2.0541131251053097,2.25411312510531
63,2.044685138219514,2.244685138219514
64,2.043261907196007,2.243261907196007
65,2.0395921531584444,2.2395921531584446
