epoch,loss,val_loss
1,inf,inf
2,inf,inf
3,inf,inf
4,7.413892691680789,7.623892691680789
5,6.321457483748062,6.531457483748062
6,5.546417080488899,5.756417080488899
7,4.991522093424843,5.201522093424843
8,4.565070036919353,4.775070036919353
9,4.210944111217527,4.420944111217527
10,3.9337966786224503,4.143796678622451
11,3.6893452784731235,3.8993452784731235
12,3.495248580584567,3.705248580584567
13,3.3383174692226674,3.5483174692226673
14,3.184373583010281,3.394373583010281
15,3.0716215283700214,3.2816215283700214
16,2.9746961247917962,3.184696124791796
17,2.8878344812693237,3.0978344812693237
18,2.8106483407561713,3.0206483407561713
19,2.731705350094086,2.941705350094086
20,2.6771828024964144,2.8871828024964143
21,2.6203287964580193,2.8303287964580193
22,2.5720251730870998,2.7820251730870997
23,2.5297996856841443,2.7397996856841442
24,2.4955005674318707,2.7055005674318706
25,2.4613427348045764,2.6713427348045764
26,2.431990026883721,2.641990026883721
27,2.4008481571412847,2.6108481571412847
28,2.3758831078582983,2.5858831078582982
29,2.3466972376265587,2.5566972376265586
30,2.3336057012859976,2.5436057012859976
31,2.3188947453314257,2.5288947453314257
32,2.2973403147423275,2.5073403147423274
33,2.2817189981094717,2.4917189981094716
34,2.2658896398743624,2.4758896398743624
35,2.2475608364624478,2.4575608364624477
36,2.2342174573042213,2.4442174573042212
37,2.2226632507988247,2.4326632507988246
38,2.218378923536405,2.428378923536405
39,2.201832312185048,2.411832312185048
40,2.190218735732537,2.400218735732537
41,2.185148818756668,2.395148818756668
42,2.1754402135952096,2.3854402135952095
43,2.1659422816679106,2.3759422816679105
44,2.1555298522557873,2.3655298522557873
45,2.1507486201900825,2.3607486201900825
46,2.1493383786699916,2.3593383786699915
47,2.134067767228576,2.344067767228576
48,2.1288842372531653,2.3388842372531653
49,2.122556376057315,2.332556376057315
